# Files where sign tokenisation cannot round-trip through the slots the converter
# keeps. Checked in so a NEW lossy file fails the gate rather than being absorbed
# into a tolerance. Format: path<TAB>reason
#
# This is not a tolerance for sloppiness: the gate demands 100% everywhere else.
CTH 530_XML_KULTINV/KBo 70.109+.xml	unclosed <w> swallows ~30 lines; parses because tags balance, so the repair stage cannot see it
CTH 479_XML_BESRIT/KBo 41.49+.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 479_XML_BESRIT/KBo 54.68.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 487_XML_BESRIT/KUB 12.24.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 495_XML_BESRIT/KUB 39.54+.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 526_XML_KULTINV/KBo 49.310.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 526_XML_KULTINV/KUB 38.29.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 527_XML_KULTINV/DAAM 1.39.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 527_XML_KULTINV/KUB 38.7.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 528_XML_KULTINV/DAAM 1.51.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 528_XML_KULTINV/KBo 22.222.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 528_XML_KULTINV/KBo 26.205.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 528_XML_KULTINV/KBo 54.164.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 528_XML_KULTINV/KUB 56.39.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 529_XML_KULTINV/DAAM 1.36.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 529_XML_KULTINV/KUB 53.21.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 530_XML_KULTINV/KBo 13.252.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 544_XML_HDivT/KUB 34.22+.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 570_XML_HDivT/KBo 58.79+.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 570_XML_HDivT/KUB 50.123.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 580_XML_HDivT/KBo 53.110+.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 582_XML_TLH/IBoT 4.45.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 585_XML_HDivT/585_u+.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 641_XML_BESRIT/KBo 21.42.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 734_XML_TLH/KBo 37.21.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 756_XML_TLH/KBo 29.31+.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 812_XML_TLH/KBo 36.30.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 820_XML_TLH/KUB 48.15.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 831_XML_TLH/KBo 41.121.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 832_XML_TLH/KBo 16.45.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 832_XML_TLH/UBT 70.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
